Model,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,F1_mean,F1_std,Precision_mean,Precision_std
Logistic Regression (Elastic Net),0.7486,0.1108,0.6257,0.0498,0.5667,0.3091,0.6722,0.2694,0.5155,0.1471,0.65,0.2
Random Forest,0.7111,0.0572,0.6819,0.0637,0.7,0.1944,0.6722,0.1975,0.6405,0.0672,0.6543,0.1767
SVM (RBF Kernel),0.8264,0.1119,0.6781,0.1364,0.5667,0.2494,0.7583,0.2111,0.5705,0.1903,0.7107,0.199
LDA (Ledoit-Wolf),0.7171,0.1025,0.6257,0.021,0.5,0.2357,0.7167,0.1778,0.4939,0.1347,0.6311,0.1882
XGBoost,0.7206,0.0493,0.7362,0.0671,0.5333,0.0667,0.8833,0.1453,0.6322,0.0477,0.8343,0.2032
Soft-Vote Ensemble,0.7611,0.0936,0.681,0.07,0.6333,0.1944,0.7139,0.1956,0.6127,0.0961,0.6694,0.1749
Majority-Vote Ensemble,0.7146,0.0802,0.68,0.0373,0.5667,0.2494,0.7639,0.1717,0.5624,0.1498,0.7061,0.1605
