Model,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,F1_mean,F1_std,Precision_mean,Precision_std
Logistic Regression (Elastic Net),0.7378,0.1361,0.5833,0.1273,0.6518,0.2814,0.5659,0.391,0.5509,0.0519,0.6479,0.2458
Random Forest,0.6667,0.0773,0.625,0.0241,0.6607,0.2209,0.5932,0.1402,0.5734,0.1219,0.5364,0.0412
SVM (RBF Kernel),0.7873,0.0953,0.7361,0.0722,0.6339,0.1756,0.8091,0.0091,0.6554,0.1236,0.6917,0.0629
LDA (Ledoit-Wolf),0.7128,0.1037,0.5417,0.0992,0.6786,0.1992,0.4636,0.2918,0.5443,0.0378,0.5216,0.1394
XGBoost,0.7212,0.0596,0.7361,0.0822,0.567,0.0444,0.8591,0.1349,0.6476,0.0789,0.7833,0.1803
Soft-Vote Ensemble,0.7514,0.0988,0.6806,0.0822,0.7321,0.1026,0.6432,0.0737,0.6556,0.0946,0.5944,0.0908
Majority-Vote Ensemble,0.7308,0.088,0.6667,0.0878,0.6384,0.1339,0.7,0.2026,0.6153,0.0764,0.6444,0.1737
