Model,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,F1_mean,F1_std,Precision_mean,Precision_std
Logistic Regression (Elastic Net),0.7403,0.1072,0.681,0.0509,0.5,0.1826,0.8139,0.1144,0.5519,0.1044,0.695,0.172
Random Forest,0.7512,0.0623,0.6676,0.0437,0.6333,0.2867,0.6917,0.1688,0.5771,0.1699,0.5984,0.0859
SVM (RBF Kernel),0.7944,0.0902,0.68,0.0977,0.6333,0.1944,0.7139,0.2253,0.6138,0.0965,0.6929,0.189
LDA (Ledoit-Wolf),0.6921,0.0998,0.6543,0.0514,0.4667,0.2211,0.7917,0.1908,0.5041,0.1342,0.67,0.1887
XGBoost,0.7495,0.0453,0.7086,0.0503,0.6,0.1333,0.7889,0.1693,0.6297,0.0307,0.7254,0.1607
Soft-Vote Ensemble,0.7852,0.0721,0.681,0.0681,0.7,0.2449,0.6639,0.0988,0.6253,0.1395,0.5894,0.0574
Majority-Vote Ensemble,0.7766,0.0835,0.681,0.0286,0.5,0.1826,0.8139,0.1515,0.5513,0.0772,0.7144,0.1571
