Subject,NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,MHipX,MHipY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,LBigToeX,LBigToeY,LSmallToeX,LSmallToeY,LHeelX,LHeelY,RBigToeX,RBigToeY,RSmallToeX,RSmallToeY,RHeelX,RHeelY,Label
140,948.3393059317056,533.2257952345348,954.6091009820886,574.4368511395274,927.3687006083484,571.9970411910724,906.7442591407962,621.3090386846695,904.7291878930135,663.6285801322967,983.0410658840648,574.6476394030501,998.0002694054596,621.2499903282918,1001.7220796584396,668.1181427230663,951.2967966643284,667.8992010538061,930.949805936733,667.8953052996277,934.0697662879116,738.8923100369957,930.7104523980375,806.7325298981722,974.447559537303,667.89718111357,972.3919981555626,735.833223613506,966.845977765258,790.4403706246399,940.0683216010626,527.6926829804299,954.1557830483208,529.8814911548238,931.0460546840412,529.8925626833845,975.4210293421112,528.245373128824,967.1868030397194,811.495653495862,974.9027149434085,809.9393943273641,961.2344267560604,793.6023454728542,933.3642373495892,825.198599094026,927.5512913484316,822.7599521972037,936.6338679769524,809.6919867470854,Non-ASD
140,948.212545318942,535.7229766408504,953.2465637809584,574.3108371376952,925.417177769479,573.4185595722321,907.4547939801477,621.5847741139404,903.2946511851718,664.6375846908834,981.6706746296207,576.5949296787693,996.0741552266971,624.5368733500808,1001.131496819916,671.1773910387724,951.201258434406,669.4048585623146,930.4089552239302,669.3771655618028,932.7168552730956,739.3444739205814,930.6095170360078,809.9284764490154,972.6004420511534,669.4221731446164,970.8519754433172,737.4819778677394,966.5929341847466,787.0169584529334,938.5397704372848,529.580445569267,954.0967238450684,530.5263376729896,930.0642375641912,529.4003498158738,974.2679782214148,528.5144106523951,966.3085009314096,809.0418775189636,974.8589064041182,806.0936324300975,960.5014837563212,789.4377539353248,934.2176036555252,829.309304241257,927.620911425023,828.2862105424869,933.7351675999872,812.490173733849,Non-ASD
140,948.1064343423362,536.8354006681095,952.2735649001348,574.3380172116875,923.9496779567309,574.3314972350054,907.6258660817364,622.1611694012871,901.8355869311832,665.7738197868181,980.8231858401772,577.529743399676,994.6209916082483,626.5690668681907,1000.4834610523516,672.9422921741735,951.128051440332,670.5128374219993,929.7793858097008,670.4731848210367,931.74442763748,739.9903282135813,930.5529653190068,811.8507308224639,971.1609970561932,670.5424882296252,969.821100081404,738.778946520188,965.827928869236,785.2162747780606,937.4311519293196,530.4693854645881,954.062973252958,530.6404231189473,929.2569685136716,528.8937522039333,973.4331786921656,528.5116934646186,964.6309124647736,808.650580332275,974.5981811549028,804.835955948118,959.5897232710828,786.6988273968461,934.5969484219936,831.9803282851408,927.5280702321724,831.6976760332701,932.163131267605,814.0353258460648,Non-ASD
140,948.0509432110237,536.8505786376301,951.6300421687567,574.450489942667,922.8999769697464,574.8003599619278,907.395901589446,622.9021974620177,900.40415553621,666.950123637818,980.3956110618648,577.6692200574807,993.5772274605796,627.5678036672024,999.8221777934564,673.6665706290818,951.0745078840454,671.2476934023991,929.1182279116754,671.2053654280312,931.0942348221294,740.7247465010192,930.5321540289452,812.7658823889288,970.0878005333288,671.2836469529176,969.1766114763092,739.7731249144628,964.7102960544056,784.9406008765633,936.7112169628014,530.5756256076131,954.0503338976916,530.3473031890506,928.614411297242,528.3984379822958,972.891742822656,528.2636294138158,962.4506564749746,809.9776665890506,974.2080721886368,805.7527443101588,958.5986946816988,785.4990074682491,934.6138237968556,833.4826593761084,927.3312245982902,833.4247821801961,931.6367385587424,814.6415273260545,Non-ASD
140,948.0760421341402,536.0560218707303,951.255933415964,574.5803539117961,922.2018506081688,574.8896535355354,906.903326647159,623.6718312114407,899.0525174054135,668.0793344616003,980.2849618408144,577.2304991438939,992.8793116941574,627.7543165316963,999.191852480941,673.6039509033092,951.0379599674848,671.6339822730532,928.4826117474836,671.5957097334883,930.7080282681084,741.4426023679197,930.538439947733,812.9405205188217,969.3394284634657,671.6711698988147,968.795749034518,740.5135083941744,963.3993699759336,786.0922180249837,936.3487164233652,530.1152889395621,954.0546084049712,529.7705335796535,928.1267296796616,527.9400752856943,972.6187826811788,527.7966263483085,960.0643517971764,812.6790409425449,973.776112498195,808.4303769449534,957.6279473695243,785.9517357603647,934.379781927972,834.0872856645907,927.0888313517868,833.8979624939075,931.8749690523376,814.62286241614,Non-ASD
140,948.2117013208244,534.7392416887299,951.0911764708984,574.6597077002389,921.789074671644,574.6638837383653,906.2865673987616,624.3340435648661,897.8328329439582,669.0742904758838,980.3882497231594,576.4307201506276,992.463693219451,627.3498382462549,998.6366905525184,673.0081574966695,951.0157398925918,671.6962598035024,927.9296675347588,671.6662200881126,930.5275594164848,742.038769399309,930.563179857284,812.6412345825564,968.8744568275124,671.7305776516396,968.5557521625196,741.0490923029357,962.0544848695032,788.5734074998662,936.3124011966476,529.3044984016572,954.0715994005012,529.033669987111,927.7840874256926,527.5443322488634,972.5894103360288,527.1370921164192,957.7686172665456,816.4106080460149,973.3898350764548,812.455233281238,956.777030715916,788.1704538840263,934.0063749632064,834.0651953010218,926.8593473210756,833.5476504850494,932.5968023273304,814.2934153586458,Non-ASD
140,948.6207899483888,533.3382688986038,950.9572366241224,574.2382103893916,921.5915393906488,573.9696847784066,906.0938673421908,624.5152388561278,896.4877100924977,669.5405698350311,980.6343260447992,575.5958165506554,992.305645757972,626.699982312602,998.2065569892212,672.3022456089438,951.0012830552406,671.3924671618223,927.3624446604058,671.3663044551405,930.3625274812478,742.0184353988479,930.5868864655532,812.459908248745,968.5129104735364,671.4215790934201,968.489878676668,741.5605472628888,960.3031013497516,792.3415724971528,936.570896915876,528.4682314462522,954.086288247013,528.3952797932861,927.5217377325052,527.1676608249218,972.7541030823356,525.7936780825103,955.7873009576208,820.6270093666158,973.2874929690448,817.7896470228844,955.5926891746282,792.9265604635546,933.796220665829,833.770228616662,926.8209234846984,832.9703152270239,933.0593363334132,814.6830832573206,Non-ASD
140,949.1724997585968,532.1410845866601,951.1688982304098,573.9303180749863,921.1899642985328,573.1816857585118,905.7687648266176,624.3521752495293,895.7745778678141,669.7370767604004,980.6843286969874,574.975339926443,992.0958795700036,625.8126282848109,997.957632359537,671.5063477208018,950.9991643676232,670.4392415263989,927.2688566877785,670.4236234939342,930.5626248761962,741.9640996726232,930.6208608816606,812.3855961808473,968.4372894635768,670.452754204993,968.0208625828354,741.4753888226355,960.1944549249956,797.2873770123283,937.3436208199212,527.8613847354004,954.1234141723322,527.801866874867,927.529447722575,527.114150083682,973.1338043650236,525.081483577982,955.9044615996094,825.043260664712,973.413296321018,822.2926842637213,956.078323735474,800.0525240538271,933.5623176321964,833.5249146766815,926.8564619822066,832.7181533773164,933.8449413288636,815.3310591615442,Non-ASD
140,949.7757676502532,530.9458935609815,951.0760890781823,573.7451485957113,921.3938225905276,572.6550850669815,905.1836021285123,623.5447954818687,895.6003679964557,670.144111203092,980.5354471698108,574.5188549234762,992.0339259485966,624.9787719464852,998.1097067806284,670.7287257114905,951.0035311727214,669.818337546123,927.7370748455417,669.8115166632974,930.6590405973236,741.6804254605847,930.6473087672492,812.1039230837697,968.936119919232,669.855004113164,966.6605039572032,741.7582419307249,960.4138286403872,803.8782859703357,938.0747962667806,527.4270935237095,954.184266791977,527.350588803949,927.4574452105488,527.1763719083575,973.8252877943336,524.2259785038748,956.0212657210856,830.2608611625284,973.6609244011248,827.8320675221136,956.823989639144,808.784729064702,933.594365511313,833.511118621143,926.9892237678872,833.0167409445683,934.0481406238936,815.2976287967913,Non-ASD
140,950.3359971995396,529.9686752372993,951.0331811831434,573.4439297265379,921.694588316536,572.1983167704827,904.7886917190798,622.6285241298419,896.0004281584912,669.9477044634648,980.2162794500448,574.0187785725684,991.9963567695656,623.9333639874984,998.1085393303732,670.0721547050572,951.0453200302708,669.4359984585217,928.352215218471,669.4326738250321,930.6765578683816,741.3087439454533,930.6612050521588,811.8594009342855,969.4138591403588,669.2717410857096,965.2382117684424,741.7688193197484,961.0777519776774,810.4288548780094,938.4991429690956,526.9427311417317,954.0394877230648,526.8844351556182,927.4977101416928,527.2228355935513,974.4749525153018,523.5879071068664,956.0263928285796,834.3141363239923,974.135868281291,832.5267207067416,958.144905850116,817.6078687616296,933.2606656761473,833.3764410563138,927.1259514641856,833.07615519752,934.9539811871734,815.1735032870272,Non-ASD
