Subject,NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,MHipX,MHipY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,LBigToeX,LBigToeY,LSmallToeX,LSmallToeY,LHeelX,LHeelY,RBigToeX,RBigToeY,RSmallToeX,RSmallToeY,RHeelX,RHeelY,Label
217,815.776,430.184,877.562,483.14,880.413,480.32,879.4159818181818,572.7730727272727,834.9736296296296,647.868962962963,871.75,483.214,833.308,571.464,753.931,551.003,874.624,668.5,859.874,665.719,818.742,777.504,786.409,889.33,883.496,668.556,907.152,786.229,974.692,895.217,845.5370131547619,424.12195833333334,824.638,412.614,740.3897255072463,428.56700966183575,853.956,412.655,918.787,915.809,930.638,924.601,992.344,904.201,727.487,886.528,736.322,883.529,789.447,907.085,ASD
217,802.845196680177,430.8341651595897,854.933552742553,483.19105053069376,857.0891369392483,481.1170286058856,865.9185547989532,572.6407091752396,821.2862557071476,646.812566107681,854.2552040867389,483.34812348476726,804.929302007322,566.1668135401673,738.7245312271228,522.2594799180981,852.7643092340808,668.6825177735876,837.5871209692924,668.9453491738394,806.7281143436917,781.3614205968735,785.8941412049534,901.2923090157695,871.5352968832823,668.786070504236,895.2374790735623,786.3280059993194,969.434033120908,887.8290259711877,833.642349864532,424.29157758620687,806.5716308931928,413.30151893690913,730.3423596401799,428.66912943528234,834.7995373252872,415.59561513096594,915.5292817077922,919.1319206434354,930.8013389710696,924.7479669396572,990.1411892554672,900.3879841248754,725.5287163800546,908.1318864208794,733.8330625684024,903.1912201795368,789.35502095301,910.7915923756484,ASD
217,786.8572598615593,433.5045627299725,843.1735729616644,483.1916468327371,842.9643442150486,482.2499331256505,852.4211325772127,572.5083450342546,807.5989155114331,645.7562025901261,840.9809385653415,483.25651631783927,776.4692623562255,553.5673878335474,739.3094082290236,495.0665322061417,835.916071352913,667.6325105350224,823.7135167782271,666.5145993768144,791.2313561996347,782.652143626259,780.9348038520267,902.456703440409,848.2495817883113,667.4229191143046,870.7661652453061,785.8767081475013,956.8110218746046,875.8694026381344,821.7476865743022,424.46119683908046,791.2556211433488,416.0056092810735,720.2949937731133,428.77124920872893,820.3474174390986,415.5220001586266,910.2435682442512,917.358431018828,929.3814155889618,916.7727259231522,977.0144419179206,882.6309312274628,718.0972436238756,919.5263777315688,722.5762096239376,907.169514605,789.242564855854,913.171528799326,ASD
217,772.5728063134305,431.2799063358935,821.128940460823,483.30591690428327,821.1191055089081,480.0342000729349,838.9236874739628,572.3759837022621,793.9114144566752,644.6996800690472,821.5346839319167,483.51290660257183,749.5672146876375,548.3664300174031,739.1791450405912,482.61268107422774,818.7817779633021,662.80430299429,804.8082646914959,659.3429446774252,779.3060026548673,778.4873971788305,775.2195144857952,902.0216105398356,826.7112616523943,664.7558144509056,842.3111739117763,787.776138785127,939.1220810569577,862.4441434633715,809.8530232840723,424.6308160919541,779.489759511816,413.6234699283132,710.2476279060469,428.8733689821755,804.4575889297606,415.4280596854384,907.110947700206,916.516794818701,926.814674079218,907.9497421084612,961.9327374094872,866.4245106620048,716.8881165931309,920.7214715788076,719.8792694990583,908.8894627474464,789.2139566678156,912.736756513166,ASD
217,758.4318499908163,429.7270168150992,811.8347600304335,480.8827826510037,812.1237093619098,480.30950036582306,825.4263184393153,572.2436130318937,780.2244481709504,643.6436861484057,811.1514421842377,480.7999273136496,729.5597177430174,532.293389546872,737.3062421729927,468.07576101369176,808.4738614024645,649.8216046080114,793.7106372779398,649.3954847270824,766.7555283049148,775.1308250112196,774.5399929339708,903.655755347226,811.7145186954488,652.8477193405688,795.4880392804891,773.7307052879908,913.4521742155428,857.5261395520506,797.9583599938424,424.8004353448276,764.2669596831513,412.5453198263464,700.2002620389804,428.97548875562217,788.6070943352474,415.67410776898294,898.8381734950203,908.3175560792164,911.257698200573,901.908485243995,934.4622571455944,852.463793619715,715.5625425146421,919.3393848754462,718.4326751374022,910.0954466499873,789.1219998223044,913.1385730545576,ASD
217,744.8858865939803,429.6912900468523,788.9180385489636,477.2832140493516,785.7697042707666,477.0177010955523,811.9288959009849,572.1112489297742,766.5371057495811,642.5873204308691,794.8724683681129,480.2423815594788,715.1996698119223,526.9810704028512,727.2725858158451,456.61227332997055,788.9978109512074,645.1323041909254,786.067258945276,645.0687739105817,765.8487732483509,771.569494878602,774.6092808215475,900.9980640286622,800.6345979890306,647.9821873424779,771.3445812741309,771.8752444663455,888.5859925490925,850.9315655105702,786.0636967036124,424.9700545977011,756.5336844462886,412.56705474857984,690.1528961719139,429.0776085290687,780.2502420828284,412.58931224972696,864.838084402153,903.9001690269934,879.7779187022073,897.8051828240558,909.1686219661782,842.249027677592,715.7272725038337,918.848359758986,721.6338215828907,909.9920571594344,789.1240104252881,909.9799063916096,ASD
217,737.4550873976149,411.1168283480003,783.8803610343385,477.0568177944725,781.0653479435757,471.386530116279,798.4299998152997,571.979065724092,752.8394041593878,641.5207150381985,787.0820774315703,479.00115461318165,695.9447894365884,512.8053655436232,720.2143444319613,449.4321841503663,784.461815734205,644.5718477204334,777.4736651651281,643.785034922661,765.0549356833371,770.5784871326919,773.7631766151922,900.9768833068952,787.939885269938,647.3790472021415,758.6896906422467,773.7071882854258,858.8875667375187,852.4052765152064,774.1690334133826,425.1396738505747,739.0614303407133,408.7916328630551,680.1055303048475,429.1797283025154,759.4046407314179,412.7782478931801,835.5820157605143,898.6200415296482,850.3841442853379,887.6465936469164,876.8583352774891,850.0882351020697,715.7690310978219,919.3313333331376,721.5399250160604,909.9270015213332,786.1393590890143,909.4366993974828,ASD
217,725.0217874848578,414.55053638210785,766.9897212967812,470.4023354728215,763.9414038809045,467.7054176815016,784.9436204784203,571.8453459303521,739.2296964253661,640.5410884868105,771.6310952946404,473.03852110269145,687.3148974430078,505.08403167932784,713.5784126980284,442.0567884323387,769.8360801895054,641.4884870941919,768.390065014885,639.5590957521132,762.400812199859,764.6935328812291,772.6315149592242,894.1376648852831,776.0516024147141,644.6864590644999,733.0012187055777,766.6951646180928,824.5517160261111,858.4580676691817,762.2743701231527,425.3092931034482,725.0353738441612,405.08466030437506,670.058164437781,429.281848075962,740.4656744418756,411.22477916763944,793.3599352009734,906.3917185361482,806.39127688831,901.2973740968436,846.9156086178681,863.0263002946888,715.6028611282983,922.23638870463,721.7499324235253,910.29980575996,786.850442493461,906.342378542829,ASD
217,713.3362335496361,415.12151783933416,755.4293278097846,463.02329099733225,753.8705283913525,461.7862164653824,771.3954303870178,571.7192141827351,725.1854535953978,639.131939230243,760.6911814227813,467.2480340474096,674.8011946598293,502.44267514060886,702.0087608595736,437.0049734648394,761.9967390450029,644.4779894876953,762.8041164303722,644.5827298147016,762.2108436006167,768.6598755585728,774.8052097887517,887.1820373464136,757.731141408557,645.1824018901754,719.3483448854241,765.851309026584,789.9747486427831,875.2560732725352,750.3797068329228,425.4789123563218,712.2952268279307,403.9797032930815,660.0107985707148,429.3839678494086,727.9526618634964,409.59993861318424,745.2448024167811,911.3059277579524,758.9842939897412,911.678379434714,812.4788418658907,881.2366641366933,717.1212178055705,919.986431037504,720.9746495693033,908.1702122861932,787.9446778545728,905.4440478882448,ASD
217,701.4631859603351,416.4103424054685,742.8436201558723,462.6556312062904,747.9901258365198,462.83051424823014,758.0363273695746,571.5698696228893,714.1009597461241,639.6045678763826,743.6424798303972,465.5995181472282,658.840100263568,493.2435694375979,692.756277023225,433.40879818179354,752.3851251771358,642.6152749337592,759.8386676688111,642.8130759942153,746.8802797822099,763.3081295378419,774.7091037548425,883.7586360537451,743.250025350081,645.0025298884987,699.8979536759352,763.2441737309615,760.8814197364038,882.9794806691772,738.485043542693,425.64853160919535,701.092969496717,405.3036235655147,649.9634327036481,429.4860876228552,715.987912919666,407.0756283088973,710.9486609064736,915.7749288069436,723.4739929804919,921.135755800817,775.6744327309135,899.5421580257429,724.6045829912127,915.3405316689596,727.4185066658124,906.1885547175524,789.5352078833093,904.0865506898466,ASD
